State	year
TX	2012
AZ	2012
WV	2012
NC	2012
CT	2012
TX	2012
CA	2012
CA	2012
HI	2012
CA	2012
VA	2012
FL	2012
MD	2012
IN	2012
FL	2012
WA	2012
MA	2012
NY	2012
SD	2012
AZ	2012
WA	2012
TX	2012
CA	2012
PR	2012
CA	2012
WA	2012
NY	2012
OR	2012
PR	2012
MO	2012
CA	2012
GA	2012
CA	2012
AR	2012
KY	2012
TN	2012
OR	2012
VA	2012
CA	2012
IN	2012
CA	2012
IL	2012
MA	2012
AR	2012
CT	2012
GA	2012
GA	2012
PA	2012
SC	2012
CA	2012
CA	2012
KY	2012
KY	2012
IN	2012
TX	2012
IN	2012
WI	2012
PA	2012
PA	2012
TX	2012
GA	2012
NY	2012
MA	2012
NY	2012
WA	2012
PR	2012
GA	2012
MD	2012
FL	2012
UT	2012
TN	2012
GA	2012
OH	2012
MA	2012
TN	2012
KY	2012
MD	2012
MO	2012
CA	2012
FL	2012
FL	2012
LA	2012
FL	2012
IN	2012
MA	2012
CT	2012
MA	2012
PR	2012
CA	2012
NY	2012
NM	2012
TX	2012
PA	2012
MD	2012
MA	2012
CA	2012
FL	2012
VA	2012
IL	2012
CA	2012
IA	2012
RI	2012
KY	2012
TX	2012
KY	2012
IL	2012
GA	2012
PA	2012
OH	2012
FL	2012
MI	2012
IN	2012
FL	2012
NC	2012
CA	2012
NC	2012
IN	2012
MN	2012
NY	2012
CA	2012
MA	2012
FL	2012
CA	2012
TX	2012
NY	2012
TX	2012
DC	2012
KY	2012
TN	2012
IA	2012
CA	2012
CT	2012
FL	2012
IL	2012
MI	2012
TX	2012
KS	2012
FL	2012
OR	2012
NM	2012
NY	2012
VA	2012
PR	2012
RI	2012
CA	2012
CT	2012
IN	2012
IN	2012
NC	2012
NJ	2012
NM	2012
NE	2012
NV	2012
CA	2012
OR	2012
GA	2012
MO	2012
WI	2012
MI	2012
MO	2012
VA	2012
OH	2012
NY	2012
AR	2012
CA	2012
CA	2012
NY	2012
NJ	2012
AR	2012
AZ	2012
IL	2012
MA	2012
KY	2012
TX	2012
IN	2012
CA	2012
PR	2012
AZ	2012
AL	2012
TX	2012
AR	2012
IL	2012
RI	2012
TN	2012
TX	2012
MI	2012
NY	2012
PA	2012
PR	2012
LA	2012
AL	2012
MO	2012
IL	2012
FL	2012
FL	2012
MN	2012
OR	2012
MT	2012
TX	2012
CA	2012
WI	2012
CA	2012
GA	2012
FL	2012
FL	2012
NY	2012
IL	2012
MO	2012
TX	2012
NC	2012
WI	2012
CO	2012
GA	2012
NY	2012
AZ	2012
NY	2012
NY	2012
WA	2013
NM	2013
CA	2013
FL	2013
CA	2013
IN	2013
IN	2013
GA	2013
WA	2013
PR	2013
FL	2013
MS	2013
NC	2013
FL	2013
SC	2013
MA	2013
GA	2013
FL	2013
CO	2013
GA	2013
IL	2013
NC	2013
NC	2013
OR	2013
TN	2013
NE	2013
NY	2013
WI	2013
IL	2013
NC	2013
CA	2013
CA	2013
CA	2013
IL	2013
NY	2013
CO	2013
CA	2013
TX	2013
FL	2013
IL	2013
GA	2013
IL	2013
PR	2013
PA	2013
NJ	2013
UT	2013
GA	2013
FL	2013
TX	2013
TN	2013
IL	2013
VT	2013
RI	2013
MD	2013
CO	2013
WI	2013
GA	2013
UT	2013
OH	2013
IL	2013
WA	2013
IN	2013
NC	2013
GA	2013
WY	2013
CA	2013
CA	2013
MT	2013
NC	2013
OH	2013
TX	2013
TN	2013
AK	2013
UT	2013
NY	2013
TX	2013
TX	2013
MI	2013
MO	2013
NC	2013
OH	2013
OH	2013
CA	2013
UT	2013
AL	2013
SC	2013
IN	2013
CA	2013
FL	2013
OH	2013
NC	2013
IA	2013
PR	2013
NC	2013
CO	2013
IL	2013
NY	2013
IN	2013
NJ	2013
OH	2013
MO	2013
TX	2013
FL	2013
MO	2013
VA	2013
MD	2013
AZ	2013
CA	2013
AL	2013
KS	2013
NC	2013
WA	2013
GA	2013
OR	2013
MI	2013
MO	2013
MD	2013
OH	2013
OH	2013
TX	2013
WA	2013
NC	2013
TN	2013
ME	2013
IL	2013
TX	2013
NY	2013
CA	2013
FL	2013
OR	2013
PA	2013
CA	2013
FL	2013
PA	2013
CA	2013
DE	2013
TX	2013
AL	2013
IL	2013
TX	2013
NE	2013
IL	2013
VA	2013
CO	2013
TX	2013
ND	2013
TX	2013
CA	2013
PA	2013
TX	2013
CA	2013
PR	2013
NY	2013
CO	2013
TX	2013
WA	2013
OH	2013
WI	2013
MD	2013
MO	2013
CA	2013
PR	2013
AR	2013
FL	2013
GA	2013
CA	2013
CT	2013
IN	2013
PR	2013
TN	2013
NC	2013
OH	2013
IL	2013
PA	2013
MN	2013
SC	2013
NJ	2013
SC	2013
OR	2013
FL	2013
NC	2013
MO	2013
NY	2013
PA	2013
FL	2013
NC	2013
OH	2013
TN	2013
IN	2013
TX	2013
CA	2013
PA	2013
PA	2013
WI	2013
IN	2013
IL	2013
PR	2013
CO	2013
MA	2013
CA	2013
WY	2013
CA	2013
CA	2013
SC	2013
PR	2013
NY	2013
VA	2013
TN	2013
VA	2013
CA	2013
PA	2013
AL	2013
PA	2013
OH	2013
IL	2013
AL	2013
FL	2013
TN	2013
NY	2013
FL	2013
CO	2013
MT	2013
PA	2013
OH	2013
NY	2013
AZ	2013
VA	2013
OH	2013
IA	2013
TX	2013
FL	2013
CO	2013
IN	2013
PA	2013
TX	2013
TN	2013
CA	2013
KY	2013
PA	2013
GA	2013
AR	2013
AR	2013
OH	2013
AZ	2013
PR	2013
NJ	2013
GA	2013
FL	2013
CA	2013
CA	2013
UT	2013
NJ	2013
FL	2013
MO	2013
NY	2014
CA	2014
TX	2014
KY	2014
WA	2014
IL	2014
MD	2014
TX	2014
FL	2014
IA	2014
FL	2014
MA	2014
IL	2014
CA	2014
CA	2014
KS	2014
MI	2014
MI	2014
TX	2014
MI	2014
CA	2014
TX	2014
IL	2014
NY	2014
PA	2014
MS	2014
TX	2014
NH	2014
UT	2014
CA	2014
IN	2014
CT	2014
TX	2014
AZ	2014
VA	2014
IA	2014
TX	2014
ID	2014
CA	2014
NJ	2014
CO	2014
CA	2014
CA	2014
KY	2014
OH	2014
MD	2014
GA	2014
OH	2014
KY	2014
CA	2014
TX	2014
KS	2014
PA	2014
TX	2014
CT	2014
CA	2014
